sku,brand,name,would_fix_by_map,map_primary
HU69800,HUNTER,Arnés Hilo Comfort,no,
HU204982,HUNTER,Comedero Cerámica Osby,no,
COA90513A,PET HEAD,Furtastic champú,no,
KVP0140,KVP,Bite Free,no,
HU67867,HUNTER,Pullover Malmö,no,
CR05017NE,RED DINGO,Correa lisa multiposición,no,
JU03050,KONG,KONG Aqua,no,
COA47203A,COMPANY OF ANIMALS,Halti anatomy correa multiposición,no,
HU69902,HUNTER,Collar Love,no,
HU67463,HUNTER,Arnés Hilo Comfort,no,
CR05013TQ,RED DINGO,Correa lisa,no,
HU208470,HUNTER,COLLAR HAVANNA 45-65/XL PLASTIC GREIGE,no,
JU04158,KONG,KONG CoreStrength Bone,no,
PT05061NE,RED DINGO,Petral No-Pull,no,
JU05106,KONG,KONG Halloween Snuzzles Assorted M,no,
HU69737,HUNTER,Abrigo Milford,no,
CL05012RO,RED DINGO,Collar liso perro,no,
YOWUP221,YOWUP,MILKY LICK CHICKEN,no,
COA47312ZG1,COMPANY OF ANIMALS,ANATOMY COLLAR VERDE XS,no,
KVP0017,KVP,KONG Quick Fit,no,
PT05041SBT,RED DINGO,Petral Style,no,
CR05012RO,RED DINGO,Correa lisa,no,
VE04780CO,DGS,Impermeable Acacia Coral,no,
HU63148,HUNTER,Collar Convenience,no,
HU65547,HUNTER,Bozal Albury,no,
HU42048,HUNTER,Collar Swiss,no,
COA90661A,PET HEAD,On All Paws paw butter,no,
HU66623,HUNTER,Arnés Hilo Comfort,no,
CR00691NA,SPRENGER,Sprenger biothane® corre multiposición 230cm naranja,no,
HU67480,HUNTER,Arnés Hilo Comfort,no,
HU43968,HUNTER,Collar Vario Basic Alu - Strong,no,
PT05024MA,RED DINGO,Petral liso,no,
CL00542,SPRENGER,Collar eslabón retorcido,no,
CR05013NE,RED DINGO,Correa lisa,no,
YOWUP130,YOWUP,Kefir DUCK & PUNKIN DIG 115 g (Box 10 Units,no,
HU68011,HUNTER,Arnés London Comfort Naranja,no,
COA15403ZG1,COMPANY OF ANIMALS,Arnés halti antitirones,no,
JU04311,KONG,KONG Rewards Tennis,no,
PT05044SBR,RED DINGO,Petral Style,no,
HU62876,HUNTER,Pullover Malmö,no,
HU67876,HUNTER,Pullover Malmö,no,
HU69816,HUNTER,Arnés Hilo Comfort,no,
HU67870,HUNTER,Pullover Malmö,no,
KVP0022,KVP,Check,no,
COA47303ZG1,COMPANY OF ANIMALS,ANATOMY COLLAR GRIS L,no,
CR05013FX,RED DINGO,Correa lisa,no,
CL00312,SPRENGER,Collar eslabón retorcido,no,
HU69792,HUNTER,Arnés Hilo Comfort,no,
HU67871,HUNTER,Pullover Malmö,no,
CL00072,SPRENGER,Collar eslabón largo,no,
HU201764,HUNTER,Arnés Divo Up,no,
VE04781CO,DGS,Impermeable Acacia Coral,no,
CR05041SCG,RED DINGO,Correa Style,no,
HU201799,HUNTER,Arnés Soho Mini,no,
CL05022NE,RED DINGO,Acople para dos perros,no,
COA47105A,COMPANY OF ANIMALS,Halti anatomy arnés turquesa,no,
JU03015,KONG,KONG Extreme,no,
CL00079,SPRENGER,Collar eslabón retorcido,no,
CR05041SBT,RED DINGO,Correa Style,no,
VE04785NE,DGS,Impermeable Acacia Negro,no,
JU03550,KONG,KONG Scrunch Knots Fox,no,
COA90333A,PET HEAD,Ditch the Dirt spray,no,
PT05054MO,RED DINGO,Petral acolchado Red Dingo,no,
CL00225,SPRENGER,Collar eslabón corto,no,
CL05044SCG,RED DINGO,Collar Style,no,
HU69770,HUNTER,Arnés Maldon Up,no,
PT05021MA,RED DINGO,Petral liso,no,
CL00313,SPRENGER,Collar eslabón retorcido,no,
MFP035,MEN FOR SAN,Champú aceite de visón,no,
HU67262,HUNTER,Collar Aalborg Special,no,
JU03001,KONG,KONG Classic,no,
JU03972,KONG,KONG Shells Bear,no,
COA47304ZG1,COMPANY OF ANIMALS,ANATOMY COLLAR TURQUESA XS,no,
HU66056,HUNTER,Collar Aalborg,no,
COA47302ZG1,COMPANY OF ANIMALS,ANATOMY COLLAR GRIS M,no,
HU64118,HUNTER,Collar Neopren Reflect,no,
HU69691,HUNTER,Collar Inari Alu - Strong,no,
HU47551,HUNTER,Collar Softie,no,
CR05043SPR,RED DINGO,Correa Style,no,
CL05013RJ,RED DINGO,Collar liso perro,no,
KVP0026,KVP,Check,no,
CR05042STV,RED DINGO,Correa Style,no,
CL00077,SPRENGER,Collar eslabón largo,no,
HU68063,HUNTER,Arnés London Comfort Lima,no,
AL01281,KONG,KONG Snacks Bacon & Cheese,no,
HU200286,HUNTER,Cama Rockford,no,
PT05042STV,RED DINGO,Petral Style,no,
HU67602,HUNTER,Correa ajustable Hilo,no,
HU68065,HUNTER,Arnés London Comfort Lima,no,
COA15414ZG1,COMPANY OF ANIMALS,Arnés halti antitirones,no,
HU69805,HUNTER,Arnés Hilo Comfort,no,
CL05042SBT,RED DINGO,Collar Style,no,
JU04176,KONG,KONG Ring,no,
HU62971,HUNTER,Abrigo Uppsala,no,
HU66610,HUNTER,Collar Hilo Vario Plus,no,
PT05066MO,RED DINGO,Petral No-Pull,no,
JU04283,KONG,KONG Shakers Honkers Duck,no,
PT05066NE,RED DINGO,Petral No-Pull,no,
JU03029,KONG,KONG Goodie Bone,no,
HU67139,HUNTER,Arnés Hilo Comfort,no,
HU63151,HUNTER,Collar Convenience,no,
CU03123,ANDIS,Juego peines de alzada,no,
HU66037,HUNTER,Collar Aalborg,no,
COATB03,COMPANY OF ANIMALS,Boomer ball,no,
HU208482,HUNTER,COLLAR HAVANNA 40/S PLASTIC BLACKBERRY,no,
YOWUP370,YOWUP,BONE BROTH CHICKEN ( Box 12units),no,
HU201747,HUNTER,Arnés Divo Up,no,
CR05016TQ,RED DINGO,Correa lisa multiposición,no,
HU47772,HUNTER,Collar Softie,no,
HU68013,HUNTER,Arnés London Comfort Naranja,no,
JU04169,KONG,KONG Squeezz Action,no,
HU204991,HUNTER,Comedero Cerámica Osby,no,
HU68136,HUNTER,Arnés London Comfort Marrón,no,
PT05060RJ,RED DINGO,Petral No-Pull,no,
PT05066FX,RED DINGO,Petral No-Pull,no,
HU69791,HUNTER,Arnés Hilo Comfort,no,
COA29260B,COMPANY OF ANIMALS,Carsafe Crash Tested Dog Harness,no,
HU203462,HUNTER,Abrigo Paxson,no,
CR05011AM,RED DINGO,Correa lisa,no,
CR05016MA,RED DINGO,Correa lisa multiposición,no,
CL00075,SPRENGER,Collar eslabón largo,no,
PT05042SBT,RED DINGO,Petral Style,no,
CR05012LM,RED DINGO,Correa lisa,no,
PT05022NE,RED DINGO,Petral liso,no,
ADAP005,CEVA,Collar,no,
HU47878,HUNTER,Collar Vario Basic Alu - Strong,no,
CL03050MA,RED DINGO,Collar liso extra-ancho,no,
COA47313ZG1,COMPANY OF ANIMALS,ANATOMY COLLAR VERDE S,no,
CL05012TQ,RED DINGO,Collar liso perro,no,
CR05012MO,RED DINGO,Correa lisa,no,
HU208464,HUNTER,COLLAR HAVANNA 30-45/M PLASTIC GREIGE,no,
HU67878,HUNTER,Pullover Malmö,no,
COATB05,COMPANY OF ANIMALS,Boomer ball,no,
JU03599,KONG,KONG Jumbler Ball,no,
CA04005MA,DGS,Dirty dog doormat,no,
PT05042SLR,RED DINGO,Petral Style,no,
COA90413A,PET HEAD,Quick Fix 2in1 champú,no,
PT05022NA,RED DINGO,Petral liso,no,
HU208611,HUNTER,SOFA LOPPA 60X40 CM POLYESTER BROWN,no,
CD00101LI,UNITED PETS,Recambio Bon Ton Nano,no,
KVP0020,KVP,Check,no,
HU208595,HUNTER,CUSHION DOG/CAT LOPPA 60 CM POLYESTER BROWN,no,
CR05011FX,RED DINGO,Correa lisa,no,
KVP0141,KVP,Bite Free,no,
CR04695AC,FLEXI,Correa Puppy cinta,no,
